#,Book Title,Author,ISBN-13
1,$100M Leads (Money Models),Alex Hormozi,978-1951120313
2,The Glucose Goddess Method (9 Months That Count),Jessie Inchauspé,978-1668024300
3,A People's History of the United States,Howard Zinn,978-0062397348
4,Alice's Adventures in Wonderland,Lewis Carroll,978-1503222687
5,Am I Overthinking This?,Michelle Rial,978-1452175867
6,Amazon Unbound,Brad Stone,978-1501137600
7,Arctic Dreams,Barry Lopez,978-0375727481
8,Arnold: The Education of a Bodybuilder,Arnold Schwarzenegger,978-1451692884
9,Art and Fear,David Bayles & Ted Orland,978-0130282712
10,Ask and It Is Given,Esther and Jerry Hicks,978-1401904593
11,Attached,Amir Levine & Rachel Heller,978-1585429134
12,Awaken the Giant Within,Tony Robbins,978-0671791544
13,Beyond Distraction,Shaila Catherine,978-1614297802
14,Blitzscaling,Reid Hoffman & Chris Yeh,978-1524761417
15,Build a Large Language Model (From Scratch),Sebastian Raschka,978-1633437166
16,Business Adventures,John Brooks,978-1497644892
17,Chip War,Chris Miller,978-1982172008
18,Chronicles: Volume One,Bob Dylan,978-0743245135
19,Collaborative Intelligence,Dawna Markova & Angie McArthur,978-0812994902
20,Complexity: A Guided Tour,Melanie Mitchell,978-0199798100
21,Confessions of an Advertising Man,David Ogilvy,978-1904915379
22,"Creativity, Inc.",Ed Catmull,978-0812993011
23,Critical Path,R. Buckminster Fuller,978-0312174910
24,Deep Work,Cal Newport,978-1455586691
25,Designing Your Life,Bill Burnett & Dave Evans,978-1101875322
26,Die With Zero,Bill Perkins,978-0358099765
27,Digital Minimalism,Cal Newport,978-0525536512
28,Dune,Frank Herbert,978-0441172719
29,Ego Is the Enemy,Ryan Holiday,978-1591847816
30,Elon Musk,Walter Isaacson,978-1982181284
31,Emotional Intelligence,Daniel Goleman,978-0553375060
32,Empire of Pain,Patrick Radden Keefe,978-1324006015
33,Endure,Cameron Hanes,978-1250280008
34,Essentialism,Greg McKeown,978-0606362085
35,Extreme Ownership,Jocko Willink & Leif Babin,978-1250060556
36,Feel-Good Productivity,Ali Abdaal,978-1250286703
37,Finding Ultra,Rich Roll,978-1453293027
38,Flow,Mihaly Csikszentmihalyi,978-0061339202
39,Focus,Daniel Goleman,978-0062114969
40,Getting Things Done,David Allen,978-0143126560
41,Good to Great,Jim Collins,978-0066620992
42,Greenlights,Matthew McConaughey,978-0593139134
43,Grit,Angela Duckworth,978-1501111112
44,How to Win Friends & Influence People,Dale Carnegie,978-0671027032
45,Influence: The Psychology of Persuasion,Robert Cialdini,978-0061241895
46,Man's Search for Meaning,Viktor Frankl,978-0807014271
47,Meditations,Marcus Aurelius (Hays Trans.),978-0812968255
48,Never Split the Difference,Chris Voss,978-0062407801
49,Range,David Epstein,978-0735214484
50,The 4-Hour Workweek,Tim Ferriss,978-0307465351
#,Book Title,Author,ISBN-13
51,$100M Leads,Alex Hormozi,978-1737475774
52,The Glucose Goddess Method,Jessie Inchauspé,978-1668024300
53,A Better Paradise,Dan Houser,979-8992953008
54,A Century of Plenty,"Sven Smit, et al.",979-8993907505
55,A Guy Like Me,John Scott,978-1501159619
56,A Liberating Vision,John Vasconcellos,978-0915166169
57,A Marriage at Sea,Sophie Elmhirst,978-0593854280
58,American Beauties,Joe Cunningham,978-0891459378
59,Art and Fear,David Bayles & Ted Orland,978-0961454739
60,Bert and the Broken Teapot,Tish Rabe,978-0307621146
61,Better Than a Touchdown,Jalen Hurts,979-8217040308
62,Deterrence and Denial (Sarah Paine),Sarah Paine,978-1682478868
63,Breakneck,Dan Wang,978-1324106036
64,Build a Reasoning Model,Sebastian Raschka,978-1633434677
65,Charisma on Command,Charlie Houpert,978-1502444943
66,Chicago Assyrian Dictionary,Erica Reiner,978-1885923141
67,Climate Capital,Tom Chi,978-1394351244
68,Codex Vaticanus (Secrets & Sig.),John M. Styron,979-8356857980
69,The Constitution of Liberty,Friedrich Hayek,978-0226315393
70,Darwin's Notebook,Jonathan Clements,978-0752454948
71,Day Trading Attention,Gary Vaynerchuk,978-0063394117
72,Days Can Be Sunny...,Tish Rabe,978-0307624642
73,Deep Blues,Robert Palmer,978-0140062236
74,Deliver Me from Nowhere,Warren Zanes,978-0593237410
75,Democracy in America,Alexis de Tocqueville,978-0140447606
76,Demon Copperhead,Barbara Kingsolver,978-0063251984
77,Ding-Dong,Jamie Siminoff,978-1501162404
78,Discipline Equals Freedom,Jocko Willink,978-1250156945
79,Dominion (Diabolic Warfare),Chad Ripperger,978-1736340356
80,Don't Tell Me I Can't,Cole Summers,979-8837136016
81,Eat Your Ice Cream,Zeke Emanuel,978-1541703667
82,Echoes from Eden,Dax Dasilva,978-1773270425
83,Economic Possibilities...,John M. Keynes,978-1607544975
84,Endurance,Alfred Lansing,978-0465062881
85,Enough,John C. Bogle,978-0470524237
86,Entertaining,Martha Stewart,978-0307393517
87,Ether Day,Julie Fenster,978-0060923297
88,Even You Can Meditate,Dan Harris,978-1400244799
89,Everything I Need to Know...,Robert Fulghum,978-0345461438
90,Families,Wyatt Cooper,978-0060108571
91,Fear and Loathing... campaign '72,Hunter S. Thompson,978-0743293037
92,Fela: This Bitch of a Life,Carlos Moore,978-1556528354
93,Find the Work You're Wired to Do,Ken Coleman,978-1942121572
94,Finite and Infinite Games,James P. Carse,978-1476731711
95,Fintech Dystopia,Hilary Allen,978-1509951666
96,First Principles,Tom Ricks,978-0062997487
97,Five Dysfunctions of a Team,Patrick Lencioni,978-0787960759
98,Ford vs. Ferrari (Go Like Hell),A. J. Baime,978-0547336053
99,Founding Sales,Pete Kazanjy,978-1544516363
100,From Pieces to Weight,50 Cent,978-0743486378
#,Book Title,Author,ISBN-13
101,From the Ruins of Empire,Pankaj Mishra,978-0312423377
102,Genius Makers,Cade Metz,978-1524758967
103,Getting to Yes,Roger Fisher et al.,978-0143118756
104,Graceland (30th Anniv. Ed.),Paul Simon,978-0062660145
105,Great Artists Steal (Steal Like an Artist),Austin Kleon,978-0761169253
106,The Great Gatsby (Deluxe Edition),F. Scott Fitzgerald,978-0743273565
107,Grit,Angela Duckworth,978-1501111112
108,Hamlet (Folger Ed.),William Shakespeare,978-0743477123
109,Harry Potter and the Chamber of Secrets,J.K. Rowling,978-0439064873
110,Heat,Michael Mann & Meg Gardiner,978-0062654472
111,Home Game,Michael Lewis,978-0393338300
112,Home Service Millionaire,Tommy Mello,978-1544501253
113,Hooked,Nir Eyal,978-1591847786
114,How Countries Go Broke (The Big Cycle),Ray Dalio,978-1982160531
115,How Not to Die Alone,Logan Ury,978-1982132316
116,How to Be a Leader,Plutarch,978-0691192055
117,How to Change,Katie Milkman,978-0593084465
118,How to Stop Worrying and Start Living,Dale Carnegie,978-0671733353
119,How to Stop a Conspiracy,Sallust,978-0691232812
120,I Am That,Nisargadatta Maharaj,978-8185300450
121,I Believe Bunny,Tish Rabe,978-0310722304
122,I Will Teach You to Be Rich,Ramit Sethi,978-1523505746
123,I and Thou,Martin Buber,978-0684717258
124,"I'm There For You, Baby",Neil Senturia,978-1936352463
125,Insanely Great,Steven Levy,978-0140232370
126,Introduction to the Science of Mental Health,Chad Ripperger,978-0692557402
127,Invention: A Life,James Dyson,978-1982170325
128,Is This Anything?,Jerry Seinfeld,978-1982141202
129,"Jab, Jab, Jab, Right Hook",Gary Vaynerchuk,978-0062273062
130,Joe Cunningham Quilts,Joe Cunningham,978-1440203565
131,Keep Going,Austin Kleon,978-1523506644
132,Keynes and the Market,Justyn Walsh,978-0470284964
133,Killers of Roe,Amy Littlefield,978-1568585475
134,"Kindness is Caring, Friendship is Sharing",Tish Rabe,978-0310722328
135,"Know Yourself, Know Your Money",Rachel Cruze,978-1942121312
136,Kochland,Christopher Leonard,978-1476775395
137,Last Man Standing,Duff McDonald,978-1416599547
138,Learn Python the Hard Way,Zed A. Shaw,978-0134692883
139,Legal and Political Foundations of Capitalism,Jamee Moudud,978-0415783354
140,Leonardo da Vinci,Walter Isaacson,978-1501139161
141,Les Schwab: Pride in Performance,Les Schwab,978-0816616428
142,Let's Retire Retirement,Derek Coburn,978-1544502809
