book_title,author,isbn
A Century of Plenty,"Sven Smit, Chris Bradley, Nick Leung, Marc Canal, Janet Bush, Sherlyn Chen, Suhayl Chettih, Jan Mischke, Jeongmin Seong",9781119642207
Am I Overthinking This?,Michelle Rial,9781797200660
Bert and the Broken Teapot,Tish Rabe,9780593094740
Build a Large Language Model (From Scratch),Sebastian Raschka,1638355738
Charisma on Command,Charlie Houpert,9781947200005
Day Trading Attention,Gary Vaynerchuk,9780062885000
Days Can Be Sunny for Bunnies and Money,Tish Rabe,9780593095090
Discipline Equals Freedom,Jocko Willink,9781250156945
Dominion,Chad Ripperger,9798416012076
Economic Possibilities for Our Grandchildren,John Maynard Keynes,9781614270520
Entertaining,Martha Stewart,9780307464878
Ford vs. Ferrari: The Battle for Supremacy at Le Mans,Preston Lerner,9781611688230
Generative AI and Stochastic Thermodynamics,Prof. Max Welling,
Introduction to the Science of Mental Health,Chad Ripperger,9780974541945
"Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World",Gary Vaynerchuk,9780062273060
Killers of Roe,Amy Littlefield,9781645030205
"Kindness is Caring, Friendship is Sharing",Tish Rabe,9780593203287
Learn Python the Hard Way,Zed A. Shaw,9780134693340
Living with the Seal,"Wim Hof, Koen de Jong",9781942952020
"Maker's Schedule, Manager's Schedule",Paul Graham,9781416544000
Minister Without Portfolio: Memoir of a Reluctant Exile,Human Majid,
Myers-Briggs Type Indicator Manual,Isabel Briggs Myers and Mary H. McCaulley,9780891061740
Mystic by the Sea,Tish Rabe,9780593203282
Navalmanack,Eric Jorgensen,9781732021000
Occult Feminism: The Secret History of Women's Liberation,Rachel Wilson,9798783546365
"Ready, Fire, Aim",Michael Masterson (Mark Ford),9781599181000
Rose and Tulip Quilts,,9780891459378
Simple But Not Easy: An Autobiographical and Biographical View of the Investment World,Richard Oldfield,
Stuck in Space: An Astronaut's Hope Through the Unexpected,Butch Wilmore,9781642010865
Sweet Dreams,Tish Rabe,9780593094900
Tax Strategies Book Bundle,Amanda Han,9781947200005
The Beato Book,Rick Beato,9781544402005
