Podcast Name,iTunes URL
.NET Rocks,https://podcasts.apple.com/podcast/id130068596
10 Minute Mindset - Actionable Self Development With Scott Clary,https://podcasts.apple.com/podcast/id1484783544
99% Invisible,https://podcasts.apple.com/podcast/id394775318
Accidental Tech Podcast,https://podcasts.apple.com/podcast/id617416468
Acquired,https://podcasts.apple.com/podcast/id1050462261
Acquiring Minds,https://podcasts.apple.com/podcast/id1569715379
Afford Anything,https://podcasts.apple.com/podcast/id1079598542
All the Hacks,https://podcasts.apple.com/podcast/id1560751222
All-In Podcast,https://podcasts.apple.com/podcast/id1502871393
Animal Spirits,https://podcasts.apple.com/podcast/id1310192007
Armchair Expert with Dax Shepard,https://podcasts.apple.com/podcast/id1345682353
At The Table with Patrick Lencioni,https://podcasts.apple.com/podcast/id1474171732
BG2 Pod,https://podcasts.apple.com/podcast/id1727278168
Big Technology Podcast,https://podcasts.apple.com/podcast/id1522960417
BigDeal,https://podcasts.apple.com/podcast/id1736593333
BiggerPockets Real Estate,https://podcasts.apple.com/podcast/id594419649
Breaking Points,https://podcasts.apple.com/podcast/id1570045623
Build with Maggie Crowley,https://podcasts.apple.com/podcast/id1445050691
Business Breakdowns,https://podcasts.apple.com/podcast/id1559120677
CBS Mornings on the Go,https://podcasts.apple.com/podcast/id1487204915
Call Her Daddy,https://podcasts.apple.com/podcast/id1418960261
Capital Allocators,https://podcasts.apple.com/podcast/id1223764016
ChooseFI,https://podcasts.apple.com/podcast/id1187770032
Citations Needed,https://podcasts.apple.com/podcast/id1258545975
Coaching for Leaders,https://podcasts.apple.com/podcast/id458827716
Cognitive Revolution,https://podcasts.apple.com/podcast/id1669813431
Compound Insights,https://podcasts.apple.com/podcast/id1491984289
Conan O'Brien Needs a Friend,https://podcasts.apple.com/podcast/id1438054347
Conversations with Tyler,https://podcasts.apple.com/podcast/id983795625
Culture of Code Podcast - The Podcast for Indie Hackers,https://podcasts.apple.com/podcast/id1206165808
DTC Podcast,https://podcasts.apple.com/podcast/id1514561839
Daily Stoic,https://podcasts.apple.com/podcast/id1430315931
Dare to Lead with Brené Brown,https://podcasts.apple.com/podcast/id1730985049
Darknet Diaries,https://podcasts.apple.com/podcast/id1296350485
Decoder with Nilay Patel,https://podcasts.apple.com/podcast/id1011668648
Deep Questions with Cal Newport,https://podcasts.apple.com/podcast/id1515786216
Design Soapbox - A Design Thinking Podcast,https://podcasts.apple.com/podcast/id1550800132
Dwarkesh Podcast,https://podcasts.apple.com/podcast/id1516093381
"EconTalk Archives, 2006",https://podcasts.apple.com/podcast/id135066958
Entrepreneurs on Fire,https://podcasts.apple.com/podcast/id564001633
Equity,https://podcasts.apple.com/podcast/id1215439780
Exponent,https://podcasts.apple.com/podcast/id826420969
Exponential View with Azeem Azhar,https://podcasts.apple.com/podcast/id1172218725
Eye on AI,https://podcasts.apple.com/podcast/id1438378439
Financial Audit with Caleb Hammer,https://podcasts.apple.com/podcast/id1691595080
FoundMyFitness,https://podcasts.apple.com/podcast/id818198322
Founders,https://podcasts.apple.com/podcast/id1141877104
Freakonomics Radio,https://podcasts.apple.com/podcast/id354668519
Fresh Air,https://podcasts.apple.com/podcast/id214089682
Future of Life Institute Podcast,https://podcasts.apple.com/podcast/id1170991978
Global News Podcast,https://podcasts.apple.com/podcast/id135067274
Gradient Dissent,https://podcasts.apple.com/podcast/id1504567418
HBR IdeaCast,https://podcasts.apple.com/podcast/id152022135
Hard Fork,https://podcasts.apple.com/podcast/id1528594034
Hidden Brain,https://podcasts.apple.com/podcast/id1028908750
House Call With Dr. Hyman,https://podcasts.apple.com/podcast/id1382804627
How I Built This,https://podcasts.apple.com/podcast/id1150510297
Huberman Lab,https://podcasts.apple.com/podcast/id1545953110
Impact Theory,https://podcasts.apple.com/podcast/id1191775648
In Our Time,https://podcasts.apple.com/podcast/id73330895
Inox - Single,https://podcasts.apple.com/podcast/id1682409647
Invest Like the Best,https://podcasts.apple.com/podcast/id1154105909
InvestED with Phil & Danielle Town,https://podcasts.apple.com/podcast/id1008452319
InvestTalk,https://podcasts.apple.com/podcast/id280789489
Jocko Podcast,https://podcasts.apple.com/podcast/id1070322219
Joe Lonsdale: American Optimist,https://podcasts.apple.com/podcast/id1573141757
Joys of Compounding,https://podcasts.apple.com/podcast/id1825201965
Land of the Giants,https://podcasts.apple.com/podcast/id1465767420
Last Week in AI,https://podcasts.apple.com/podcast/id1502782720
Latent Space,https://podcasts.apple.com/podcast/id1674008350
Lenny's Podcast,https://podcasts.apple.com/podcast/id1627920305
Lex Fridman Podcast,https://podcasts.apple.com/podcast/id1434243584
Machine Learning Street Talk,https://podcasts.apple.com/podcast/id1510472996
Macro Musings,https://podcasts.apple.com/podcast/id1099277290
Making Bank: A Black Flag DAO Podcast (formerly Bankless DAO),https://podcasts.apple.com/podcast/id1499409058
Making Sense with Sam Harris,https://podcasts.apple.com/podcast/id733163012
Marketing Against the Grain,https://podcasts.apple.com/podcast/id1616700934
Marketing School,https://podcasts.apple.com/podcast/id1138869817
Masters in Business,https://podcasts.apple.com/podcast/id730188152
Masters of Scale,https://podcasts.apple.com/podcast/id1227971746
Meb Faber Show,https://podcasts.apple.com/podcast/id1128955736
Mixergy,https://podcasts.apple.com/podcast/id348690336
Modern CTO,https://podcasts.apple.com/podcast/id1325942361
Modern Wisdom,https://podcasts.apple.com/podcast/id1347973549
Money For the Rest of Us,https://podcasts.apple.com/podcast/id883011006
Moneywise,https://podcasts.apple.com/podcast/id1725976637
Moonshots with Peter Diamandis,https://podcasts.apple.com/podcast/id1648228034
My First Million,https://podcasts.apple.com/podcast/id1469759170
My Ways (feat. Lil Jokey) - Single,https://podcasts.apple.com/podcast/id1640878689
NBC Nightly News,https://podcasts.apple.com/podcast/id75462585
Navigating Wealth,https://podcasts.apple.com/podcast/id1848166539
New Heights with Jason & Travis Kelce,https://podcasts.apple.com/podcast/id1643745036
No Bullsh!t Leadership,https://podcasts.apple.com/podcast/id1434654553
No Priors,https://podcasts.apple.com/podcast/id1668002688
Odd Lots,https://podcasts.apple.com/podcast/id1056200096
Office Ladies,https://podcasts.apple.com/podcast/id1480311435
Ologies with Alie Ward,https://podcasts.apple.com/podcast/id1278815517
On Purpose with Jay Shetty,https://podcasts.apple.com/podcast/id1450994021
Optimal Living Daily,https://podcasts.apple.com/podcast/id1067688314
Philosophize This!,https://podcasts.apple.com/podcast/id659155419
Pivot,https://podcasts.apple.com/podcast/id1073226719
Planet Money,https://podcasts.apple.com/podcast/id290783428
Pod Save America,https://podcasts.apple.com/podcast/id1192761536
