book_title,author
$100M Money Models,Alex Hormozi
$100M Offers,Alex Hormozi
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher Mayer
1619: 20 Africans,Stephen Hanks
22 Faces,Judy Byington
7 Powers,Hamilton Helmer
9 Months That Count Forever,Jessie Inchauspé
A Better Paradise,Dan Houser
A Century of Plenty,"Sven Smit, Chris Bradley, Nick Leung, Marc Canal, Janet Bush, Sherlyn Chen, Suhayl Chettih, Jan Mischke, Jeongmin Seong"
A Guy Like Me,John Scott
A Liberating Vision,John Vasconcellos
A Man for All Markets,Edward O. Thorp
"A Marriage at Sea: A True Story of Love, Obsession, and Shipwreck",null
A People's History of the United States,Howard Zinn
A Technique for Producing Ideas,James Webb Young
Adventures of a Lifetime: A Memoir,John Catsimatidis
Adventures of a Lifetime: Travel Tales from Around the World,Lonely Planet
Against the Odds,James Dyson
Ake: The Years of Childhood,Wole Soyinka
"Alchemy: The Dark Art and Curious Science of Creating Magic in Brands, Business, and Life",Rory Sutherland
Alice's Adventures in Wonderland,Lewis Carroll
"All That's Holy: A Young Guy, an Old Car, and the Search for God in America",Tom Levinson
Am I Overthinking This?,Michelle Rial
Amazon Unbound,Brad Stone
American Beauties,Joe Cunningham
"American Carnage: How Trump, Musk, and Doge Butchered the U.S. Government",Sasha Abramsky
American Colossus,H. W. Brands
Amp It Up,Frank Slootman
Arctic Dreams,Barry Lopez
Arnold: The Education of a Bodybuilder,Arnold Schwarzenegger
Art & Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles and Ted Orland
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles and Ted Orland
Ask and It Is Given,Esther and Jerry Hicks
Atlas Shrugged,Ayn Rand
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Dr Sophie Mort
Awaken the Giant Within,Tony Robbins
Becoming Bulletproof,Evy Poumpouras
Benghazi: Know Thy Enemy,Sarah Adams
Bert and the Broken Teapot,Tish Rabe
Betrayal of Command,Asad Khan
Better Than a Touchdown,Jalen Hurts
Beyond Distraction,Shaila Catherine
Blitzscaling,Reid Hoffman and Chris Yeh
Blowback: A Warning to Save Democracy from the Next Trump,Rachel Maddow
Books by Sarah Paine,Sarah Paine
Breakneck,Dan Wang
Build a Brand Like Trader Joe's,Mark Gardiner
Build a Large Language Model (From Scratch),Sebastian Raschka
Build a Reasoning Model (From Scratch),Sebastian Raschka
Building a Business You Love,Dave Ramsey
Built to Sell,John Warrillow
Business Adventures,John Brooks
Buy Then Build,Walker Deibel
CEO Ready: What You Need to Know to Earn the Job and Keep the Job,"Mark Thompson, Byron Loflin"
Cable Cowboy,Mark Robichaux
Capitalizing on Chaos,Rob Kalwarowsky
Cashvertising,Drew Eric Whitman
Chaos,James Gleick
Charisma on Command,Charlie Houpert
Chicago Assyrian Dictionary,Erica Reiner
Chip War: The Fight for the World's Most Critical Technology,Chris Miller
Chronicles: Volume One,Bob Dylan
Climate Capital,Tom Chi
Co-Intelligence,Ethan Mollick
Codex Vaticanus,John M. Styron
Constitution of Liberty,Friedrich Hayek
Darwin's Notebook,Charles Darwin
Day Trading Attention,Gary Vaynerchuk
Days Can Be Sunny for Bunnies and Money,Tish Rabe
Deep Blues,Robert Palmer
Deliver Me from Nowhere,Unknown
Democracy in America,Alexis de Tocqueville
Demon Copperhead,Barbara Kingsolver
Ding-Dong: How a Shark Tank Reject Went to Everyone's Front Door,Jamie Siminoff
Discipline Equals Freedom,Jocko Willink
Dominion,Chad Ripperger
Dominion: The Nature of Diabolic Warfare,Father Chad Ripperger
Don't Tell Me I Can't,Cole Summers
Eat Your Ice Cream: Six Simple Rules for a Long and Healthy Life,Zeke Emanuel
Echoes from Eden,Dax Dasilva
Economic Possibilities for Our Grandchildren,John Maynard Keynes
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance
Endurance: Shackleton's Incredible Voyage,Alfred Lansing
Enough,John C. Bogle
Entertaining,Martha Stewart
Ether Day,Julie Fenster
Even You Can Meditate,Dan Harris and Seban A. Selassie
Everything I Need to Know I Learned in Kindergarten,Robert Fulghum
Extreme Ownership,Jocko Willink and Leif Babin
Families,Wyatt Cooper
"Far From the Tree: Parents, Children and the Search for Identity",Andrew Solomon
Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson
Fela: This Bitch of a Life,Carlos Moore
Find the Work You're Wired to Do,Ken Coleman
Finite and Infinite Games,James P. Carse
Fintech Dystopia,Hilary Allen
First Principles,Tom Ricks
Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni
Ford vs. Ferrari: The Battle for Supremacy at Le Mans,Preston Lerner
Founding Sales,Pete Kazanjy
From Pieces to Weight,50 Cent
From the Ruins of Empire,Pankaj Mishra
Generative AI and Stochastic Thermodynamics,Prof. Max Welling
Genius Makers,Cade Metz
Getting to Yes,"Roger Fisher, William Ury, and Bruce Patton"
Graceland,Paul Simon
Great Artists Steal,Austin Kleon
Great Gatsby: 100th Anniversary Deluxe Edition,F. Scott Fitzgerald
Grit,Angela Duckworth
Hamlet,William Shakespeare
Harry Potter and the Chamber of Secrets,J.K. Rowling
Heat,Michael Mann and Meg Gardiner
High Agency,George Mack
Home Game,Michael Lewis
Home Service Millionaire,Tommy Mello
Hooked: How to Build Habit-Forming Products,Nir Eyal
How Countries Go Broke: The Big Cycle,Ray Dalio
How Not to Die Alone,Logan Ury
How to Be a Leader,Plutarch
How to Change,Katie Milkman
How to Lose Weight in 4 Easy Steps,Aaron Bleyaert
How to Stop Worrying and Start Living,Dale Carnegie
How to Stop a Conspiracy: An Ancient Guide to Saving a Republic,Sallust
I Am That,Nisarga Dada
I Believe Bunny,Tish Rabe
I Will Teach You to Be Rich,Ramit Sethi
I and Thou,Martin Buber
"I'm There For You, Baby",Neil Senturia
Insanely Great,Stephen Levy
Introduction to the Science of Mental Health,Chad Ripperger
Invention: A Life,James Dyson
Investing,Steve
Is This Anything?,Jerry Seinfeld
"Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World",Gary Vaynerchuk
Japan Company Handbook,
Joe Cunningham Quilts,Joe Cunningham
Jogging,Bill Bowerman
Keep Going: 10 Ways to Stay Creative in Good Times or Bad,Austin Kleon
Keynes and the Market,null
Killers of Roe,Amy Littlefield
"Kindness is Caring, Friendship is Sharing",Tish Rabe
"Know Yourself, Know Your Money",Rachel Cruze
Kochland: The Secret History of Koch Industries and Corporate Power in America,Christopher Leonard
Last Man Standing: The Ascent of Jamie Dimon and JPMorgan Chase,Duff McDonald
Leads,Alex Hormozi
Learn Python the Hard Way,Zed A. Shaw
Legal and Political Foundations of Capitalism,Jamee Moudud
Leonardo da Vinci,Walter Isaacson
Les Schwab: Pride in Performance,Les Schwab
Let's Retire Retirement,Derek Coburn
Life Force: How New Breakthroughs in Precision Medicine Can Transform the Quality of Your Life & Those You Love,"Tony Robbins, Peter H. Diamandis, and Robert Hariri"
Life is Luck,John Morgan
Lifespan,David Sinclair
Living with the Seal,"Wim Hof, Koen de Jong"
London Pharmacopoeia,Unknown
Longevity Imperative,Unknown
"Losing Big, America's Reckless Bet on Sports Gambling",Jonathan Cohen
"Love You, Hug You, Read to You",Tish Rabe
Loving What Is,Byron Katie
Magellan: Over the Edge of the World,Laurence Bergreen
"Maker's Schedule, Manager's Schedule",Paul Graham
Manhunt: The 12-Day Chase for Lincoln's Killer,James L. Swanson
Margin of Safety,Seth Klarman
Mastering The Market Cycle,Howard Marks
Meditations,Marcus Aurelius
Minister Without Portfolio: Memoir of a Reluctant Exile,Human Majid
Mistakes Were Made (But Not By Me),Carol Tavris and Elliot Aronson
Money Models,Alex Hormozi
Money for Couples,Unknown (not specified in the transcript)
Money for the Rest of Us,David Stein
Moody's Manual,John Moody
Mother of God,Paul Rosolie
Myers-Briggs Type Indicator Manual,Isabel Briggs Myers and Mary H. McCaulley
Mystic by the Sea,Tish Rabe
Navalmanack,Eric Jorgensen
New Kings of the World,Fatima Bhutto
Notes on Being a Man,null
"Now, Not How",Noah Kagan
Occult Feminism: The Secret History of Women's Liberation,Rachel Wilson
Ogilvy on Advertising,David Ogilvy
On Death and Dying,Elizabeth Kübler-Ross
On Liberty,John Stuart Mill
On Writing,Stephen King
On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser
Once an Eagle,Anton Myrer
One Up On Wall Street: How To Use What You Already Know To Make Money In The Market,Peter Lynch
Paleo Fitness,Darryl Edwards
Pinot Rocks,Michael Browne
Plato's Republic,Plato
Poor Charlie's Almanack,Charlie Munger
Positioning: The Battle for Your Mind,Al Ries and Jack Trout
Postmortem,Patricia Cornwell
Precious Blood,Jonathan Hayes
